iter	Passed	Remaining
0	0	91
1	1	85
2	2	79
3	3	73
4	3	71
5	4	70
6	5	68
7	5	68
8	6	67
9	7	67
10	8	66
11	8	65
12	9	64
13	10	63
14	11	63
15	11	62
16	12	62
17	13	61
18	14	61
19	15	60
20	15	59
21	16	59
22	17	58
23	18	58
24	19	57
25	19	56
26	20	55
27	21	54
28	22	54
29	22	53
30	23	52
31	24	51
32	25	50
33	25	50
34	26	49
35	27	48
36	28	47
37	28	47
38	30	46
39	30	46
40	31	45
41	32	44
42	33	43
43	33	43
44	34	42
45	35	41
46	36	41
47	37	40
48	38	39
49	38	38
50	39	38
51	40	37
52	41	36
53	42	36
54	42	35
55	43	34
56	44	33
57	45	33
58	46	32
59	47	31
60	48	30
61	48	29
62	49	29
63	50	28
64	51	27
65	52	26
66	53	26
67	53	25
68	54	24
69	55	23
70	56	23
71	57	22
72	58	21
73	59	20
74	60	20
75	60	19
76	61	18
77	62	17
78	63	16
79	64	16
80	65	15
81	65	14
82	66	13
83	67	12
84	68	12
85	69	11
86	70	10
87	71	9
88	71	8
89	72	8
90	73	7
91	74	6
92	75	5
93	76	4
94	77	4
95	78	3
96	79	2
97	80	1
98	80	0
99	81	0
